
[MarioAI] ~ Evaluation Results: Evaluation lasted: 181047 ms; Status: WIN!; Mode: FIRE;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 170; Time Left: 30; Coins: 105; Hidden blocks: 0; Mushrooms: 2; Flowers: 1; Collisions: 1; kills: 32; By Fire: 10; By Shell: 0; By Stomp: 22; MEMO INFO: WIN;  level: 5

[MarioAI] ~ Evaluation Results: Evaluation lasted: 46929 ms; Status: Loss; Mode: small;  Passed (Cells): 55;  Passed (Phys): 888; Time Spent: 44; Time Left: 155; Coins: 20; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 10; By Fire: 0; By Shell: 0; By Stomp: 10; MEMO INFO: Reason of death: Collision with a creature [Flower];  level: 6

[MarioAI] ~ Evaluation Results: Evaluation lasted: 88537 ms; Status: Loss; Mode: small;  Passed (Cells): 184;  Passed (Phys): 2959; Time Spent: 83; Time Left: 116; Coins: 49; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 20; By Fire: 0; By Shell: 0; By Stomp: 20; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 6

[MarioAI] ~ Evaluation Results: Evaluation lasted: 57651 ms; Status: Loss; Mode: small;  Passed (Cells): 109;  Passed (Phys): 1755; Time Spent: 54; Time Left: 145; Coins: 40; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 14; By Fire: 0; By Shell: 0; By Stomp: 14; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 6

[MarioAI] ~ Evaluation Results: Evaluation lasted: 27477 ms; Status: Loss; Mode: small;  Passed (Cells): 36;  Passed (Phys): 582; Time Spent: 25; Time Left: 174; Coins: 12; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 6

[MarioAI] ~ Evaluation Results: Evaluation lasted: 176078 ms; Status: WIN!; Mode: Large;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 165; Time Left: 34; Coins: 63; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 0; kills: 24; By Fire: 0; By Shell: 0; By Stomp: 24; MEMO INFO: WIN;  level: 6

