
[MarioAI] ~ Evaluation Results: Evaluation lasted: 2420 ms; Status: Loss; Mode: small;  Passed (Cells): 14;  Passed (Phys): 228; Time Spent: 3; Time Left: 197; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5939 ms; Status: Loss; Mode: small;  Passed (Cells): 33;  Passed (Phys): 530; Time Spent: 7; Time Left: 192; Coins: 9; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 164999 ms; Status: Loss; Mode: Large;  Passed (Cells): 47;  Passed (Phys): 760; Time Spent: 200; Time Left: 0; Coins: 11; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 0; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 13529 ms; Status: Loss; Mode: small;  Passed (Cells): 46;  Passed (Phys): 745; Time Spent: 16; Time Left: 183; Coins: 17; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 10446 ms; Status: Loss; Mode: small;  Passed (Cells): 45;  Passed (Phys): 735; Time Spent: 12; Time Left: 187; Coins: 19; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 13035 ms; Status: Loss; Mode: small;  Passed (Cells): 45;  Passed (Phys): 731; Time Spent: 15; Time Left: 184; Coins: 18; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 11714 ms; Status: Loss; Mode: small;  Passed (Cells): 46;  Passed (Phys): 738; Time Spent: 14; Time Left: 185; Coins: 10; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 164999 ms; Status: Loss; Mode: Large;  Passed (Cells): 47;  Passed (Phys): 753; Time Spent: 200; Time Left: 0; Coins: 15; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 0; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 8579 ms; Status: Loss; Mode: small;  Passed (Cells): 30;  Passed (Phys): 480; Time Spent: 10; Time Left: 189; Coins: 9; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 164997 ms; Status: Loss; Mode: small;  Passed (Cells): 46;  Passed (Phys): 751; Time Spent: 200; Time Left: 0; Coins: 19; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 0; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 25243 ms; Status: Loss; Mode: small;  Passed (Cells): 45;  Passed (Phys): 724; Time Spent: 30; Time Left: 169; Coins: 19; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 9511 ms; Status: Loss; Mode: small;  Passed (Cells): 29;  Passed (Phys): 477; Time Spent: 11; Time Left: 188; Coins: 8; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 48068 ms; Status: Loss; Mode: small;  Passed (Cells): 163;  Passed (Phys): 2623; Time Spent: 58; Time Left: 141; Coins: 84; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 2; kills: 9; By Fire: 0; By Shell: 0; By Stomp: 9; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 165000 ms; Status: Loss; Mode: small;  Passed (Cells): 47;  Passed (Phys): 764; Time Spent: 200; Time Left: 0; Coins: 10; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 1; kills: 5; By Fire: 0; By Shell: 0; By Stomp: 5; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 165000 ms; Status: Loss; Mode: Large;  Passed (Cells): 47;  Passed (Phys): 763; Time Spent: 200; Time Left: 0; Coins: 21; Hidden blocks: 0; Mushrooms: 2; Flowers: 0; Collisions: 0; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 16884 ms; Status: Loss; Mode: small;  Passed (Cells): 29;  Passed (Phys): 472; Time Spent: 20; Time Left: 179; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

