
[MarioAI] ~ Evaluation Results: Evaluation lasted: 69738 ms; Status: Loss; Mode: small;  Passed (Cells): 136;  Passed (Phys): 2177; Time Spent: 84; Time Left: 115; Coins: 59; Hidden blocks: 0; Mushrooms: 2; Flowers: 0; Collisions: 2; kills: 10; By Fire: 0; By Shell: 0; By Stomp: 10; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5441 ms; Status: Loss; Mode: small;  Passed (Cells): 21;  Passed (Phys): 346; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 86124 ms; Status: Loss; Mode: small;  Passed (Cells): 170;  Passed (Phys): 2727; Time Spent: 104; Time Left: 95; Coins: 67; Hidden blocks: 0; Mushrooms: 3; Flowers: 0; Collisions: 4; kills: 16; By Fire: 0; By Shell: 0; By Stomp: 16; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 23318 ms; Status: Loss; Mode: small;  Passed (Cells): 57;  Passed (Phys): 926; Time Spent: 28; Time Left: 171; Coins: 31; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5333 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 359; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 1979 ms; Status: Loss; Mode: small;  Passed (Cells): 9;  Passed (Phys): 144; Time Spent: 2; Time Left: 197; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5389 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 362; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 80409 ms; Status: Loss; Mode: small;  Passed (Cells): 240;  Passed (Phys): 3852; Time Spent: 97; Time Left: 102; Coins: 89; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 14; By Fire: 0; By Shell: 0; By Stomp: 14; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 9677 ms; Status: Loss; Mode: small;  Passed (Cells): 38;  Passed (Phys): 618; Time Spent: 11; Time Left: 188; Coins: 14; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 130236 ms; Status: Loss; Mode: small;  Passed (Cells): 212;  Passed (Phys): 3403; Time Spent: 157; Time Left: 42; Coins: 80; Hidden blocks: 0; Mushrooms: 2; Flowers: 0; Collisions: 2; kills: 18; By Fire: 0; By Shell: 0; By Stomp: 18; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5225 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 352; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5279 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 353; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

